species,family,range.size,conserv.europe,conserv.eu,OWS_egg,OWS_larvae,OWS_pupae,OWS_adult,GEN_Average,GEN_Min,GEN_Max,GEN_Range,WSP_Female_average,WSP_Female_range,HSI,LEV_buried,LEV_ground_layer,LEV_field_layer,LEV_shrub_layer,LEV_canopy_layer,ELT_single,ELT_small_batch,ELT_large_batch,ALT_Min,ALT_Range,FM_Average,FM_Range,AFB_herb/flower,AFB_grass,AFB_shrub_flower,AFB_honeydew,AFB_sap,AFB_animal,AFB_mineral
Pyrgus_cacaliae,Hesperiidae,55,5,5,0,1,0,0,1,1,1,0,28.5,5,0.577,NA,NA,NA,NA,NA,NA,NA,NA,1800,1000,2.5,1,1,0,0,0,0,0,0
Pyrgus_carlinae,Hesperiidae,30,5,5,0,1,0,0,1,1,1,0,29,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1500,1000,2,0,1,0,0,0,0,0,0
Pyrgus_carthami,Hesperiidae,264,5,5,0,1,0,0,1,1,1,0,32,4,0.218,0,1,1,0,0,1,1,0,0,1800,5,0,1,0,0,0,0,0,1
Pyrgus_centaureae,Hesperiidae,162,5,5,0,1,0,0,1,1,1,0,29.5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,2.5,1,1,0,0,0,0,0,0
Pyrgus_cinarae,Hesperiidae,14,5,5,0,1,0,0,1,1,1,0,31,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,4,2,1,0,0,0,0,0,0
Pyrgus_cirsii,Hesperiidae,94,3,3,1,1,0,0,1,1,1,0,27,2,0.408,0,1,1,0,0,1,0,0,0,1000,3,2,1,0,0,0,0,0,1
Pyrgus_foulquieri,Hesperiidae,29,NA,NA,0,1,0,0,1,1,1,0,28.5,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1000,700,3,2,1,0,0,0,0,0,0
Pyrgus_malvae,Hesperiidae,959,5,5,0,0,1,0,1.5,1,2,1,23,6,0.192,0,0,1,0,0,1,0,0,0,2500,5,4,1,0,0,0,0,0,0
Pyrgus_malvoides,Hesperiidae,NA,5,5,0,0,1,0,1.5,1,2,1,23,6,NA,0,1,1,0,0,1,0,0,0,1800,3.5,3,1,0,0,0,0,0,1
Pyrgus_onopordi,Hesperiidae,105,5,5,0,1,0,0,2.5,2,3,1,25,6,0.577,0,1,1,0,0,1,0,0,0,2800,7,0,1,0,0,0,0,0,1
Pyrgus_serratulae,Hesperiidae,318,5,4,0,1,0,0,1,1,1,0,28,8,0.316,0,1,1,0,0,1,0,0,0,2800,3,2,1,0,0,0,0,0,0
Pyrgus_sidae,Hesperiidae,77,5,5,0,1,0,0,1,1,1,0,35,6,0.316,NA,NA,NA,NA,NA,NA,NA,NA,0,2300,4,2,1,0,0,0,0,0,1
Pyrgus_warrenensis,Hesperiidae,29,5,5,0,1,0,0,1,1,1,0,24.5,3,0.577,NA,NA,NA,NA,NA,NA,NA,NA,1800,800,2,0,NA,NA,NA,NA,NA,NA,NA
Pyronia_bathseba,Nymphalidae,104,5,5,0,1,0,0,1,1,1,0,37,2,0.354,0,1,1,0,0,1,0,0,100,1900,4.5,1,1,0,0,0,0,0,0
Pyronia_cecilia,Nymphalidae,219,5,5,0,1,0,0,1,1,1,0,31,2,0.177,0,0,1,0,0,1,0,0,0,2300,3.5,1,1,0,0,0,0,0,1
Pyronia_tithonus,Nymphalidae,515,5,5,0,1,0,0,1,1,1,0,36,4,0.081,0,1,1,0,0,1,0,0,0,2300,3.5,3,1,0,1,0,0,0,0
Satyrium_acaciae,Lycaenidae,349,5,5,1,0,0,0,1,1,1,0,30,4,1,0,1,0,1,0,1,0,0,0,2000,3,2,1,0,1,0,0,0,0
Satyrium_esculi,Lycaenidae,106,5,5,1,0,0,0,1,1,1,0,32,4,0.707,0,0,0,1,1,1,0,0,100,1200,4,0,1,0,0,0,0,0,0
Satyrium_ilicis,Lycaenidae,586,5,5,1,0,0,0,1,1,1,0,34,4,0.112,0,0,0,1,0,1,0,0,0,1800,4,0,0,0,1,0,0,0,0
Satyrium_ledereri,Lycaenidae,1,NA,NA,1,0,0,0,1,1,1,0,29,4,0.577,0,0,0,1,0,1,0,0,600,1900,3.5,3,1,0,0,0,0,0,0
Satyrium_pruni,Lycaenidae,408,5,5,1,0,0,0,1,1,1,0,31.5,9,0.134,0,0,0,1,0,1,0,0,100,600,3,0,1,0,1,1,0,0,0
Satyrium_spini,Lycaenidae,483,5,5,1,0,0,0,1,1,1,0,30,4,0.167,0,0,0,1,0,1,1,0,0,2000,3.5,1,1,0,1,1,0,0,0
Satyrium_w-album,Lycaenidae,553,5,5,1,0,0,0,1,1,1,0,30,4,0.065,0,0,0,1,1,1,0,0,0,1700,3,0,1,0,0,1,0,0,0
Satyrus_actaea,Nymphalidae,73,5,5,0,1,0,0,1,1,1,0,55,10,0.236,0,1,1,0,0,1,0,0,100,1900,3,0,1,0,0,0,0,0,0
Satyrus_ferula,Nymphalidae,144,5,5,0,1,0,0,1,1,1,0,55,10,0.5,0,1,1,0,0,0,1,0,0,2200,4,2,1,0,0,0,0,1,1
Scolitantides_orion,Lycaenidae,260,5,4,0,0,1,0,1.5,1,2,1,27.5,5,0.333,0,0,1,0,0,1,0,0,0,1500,5,0,1,0,0,0,0,0,0
Speyeria_aglaja,Nymphalidae,1132,5,5,1,1,0,0,1,1,1,0,51.5,9,0.5,0,1,1,0,0,1,0,0,0,2500,3.5,3,1,0,0,0,0,1,1
